decade,score,bad word,number of appearance
1940,8,hell,1
1940,8,kid,11
1940,8,kill,22
1940,8,dead,9
1940,8,black,13
1940,8,smack,1
1940,8,killed,22
1940,8,liquor,2
1940,8,murder,4
1940,8,dumb,3
1940,8,sick,10
1940,8,dope,1
1940,8,hook,2
1940,8,gun,2
1940,8,colored,1
1940,8,drunk,5
1940,8,death,14
1940,8,fight,13
1940,8,queer,1
1940,8,nasty,1
1940,8,color,1
1940,8,church,4
1940,8,tramp,3
1940,8,horn,3
1940,8,illegal,1
1940,8,suicide,5
1940,8,failed,1
1940,8,dies,2
1940,8,homicide,1
1940,8,killing,6
1940,8,cemetery,2
1940,8,shoot,9
1940,8,fire,3
1940,8,fat,8
1940,8,destroy,6
1940,8,girls,10
1940,8,fairy,3
1940,8,devil,2
1940,8,beast,1
1940,8,laid,1
1940,8,die,7
1940,8,disease,2
1940,8,died,6
1940,8,bigger,4
1940,8,joint,4
1940,8,firing,2
1940,8,cigarette,1
1940,8,lies,3
1940,8,payo,6
1940,8,dirty,5
1940,8,spit,4
1940,8,knife,1
1940,8,murderer,1
1940,8,attack,3
1940,8,pot,1
1940,8,mad,1
1940,8,faith,3
1940,8,idiot,1
1940,8,gin,2
1940,8,swallow,1
1940,8,husky,1
1940,8,babies,1
1940,8,crash,2
1940,8,torture,2
1940,8,drunken,1
1940,8,buried,3
1940,8,servant,1
1940,8,fear,3
1940,8,terror,1
1940,8,enemy,2
1940,8,violence,2
1940,8,assault,2
1940,8,failure,1
1940,8,molest,1
1940,8,blow,4
1940,8,god,1
1940,8,bombing,1
1940,8,shooting,2
1940,8,bomb,1
1940,8,sex,2
1940,8,poverty,2
1940,8,blind,2
1940,8,booby,1
1940,8,hole,1
1940,8,crack,1
1940,8,desire,1
1940,8,crimes,1
decade,score,bad word,number of appearance
1950,0,desire,2
1950,0,welfare,4
1950,0,fire,4
1950,0,sex,2
1950,0,fight,4
1950,0,butt,2
1950,0,blow,2
1950,0,escort,2
1950,0,horn,2
1950,0,tongue,2
1950,0,crack,2
1950,0,girls,4
1950,0,shoot,2
1950,0,kid,2
1950,0,disturbed,2
1950,0,women's,2
decade,score,bad word,number of appearance
1950,3,homicide,1
1950,3,failed,2
1950,3,crime,1
1950,3,explosion,1
1950,3,destroy,2
1950,3,killed,1
1950,3,harder,1
1950,3,slaughter,1
1950,3,fire,2
1950,3,faith,1
1950,3,enemy,3
1950,3,attack,1
1950,3,kill,1
1950,3,bigger,1
1950,3,bomb,3
1950,3,die,1
decade,score,bad word,number of appearance
1950,4,babies,2
1950,4,fire,19
1950,4,spit,3
1950,4,spank,2
1950,4,kid,7
1950,4,bombing,4
1950,4,girls,7
1950,4,fight,6
1950,4,firing,4
1950,4,attack,4
1950,4,failed,2
1950,4,fat,3
1950,4,hole,2
1950,4,dive,1
1950,4,destroy,10
